train_loss,epoch,step,Cost function,r2,Root Mean Square Error
165.50030517578125,0,50,,,
164.95948791503906,1,101,,,
164.37123107910156,2,152,,,
163.79733276367188,3,203,,,
163.2148895263672,4,254,,,
162.41383361816406,5,305,,,
161.5605926513672,6,356,,,
160.45993041992188,7,407,,,
159.28091430664062,8,458,,,
157.97299194335938,9,509,,,
156.3558807373047,10,560,,,
154.6444091796875,11,611,,,
152.42063903808594,12,662,,,
149.91571044921875,13,713,,,
147.43344116210938,14,764,,,
144.7246856689453,15,815,,,
141.56936645507812,16,866,,,
138.5465545654297,17,917,,,
135.4778594970703,18,968,,,
131.46975708007812,19,1019,,,
128.33004760742188,20,1070,,,
124.44512939453125,21,1121,,,
120.60567474365234,22,1172,,,
117.66395568847656,23,1223,,,
113.60137176513672,24,1274,,,
109.68848419189453,25,1325,,,
106.30125427246094,26,1376,,,
101.7429428100586,27,1427,,,
98.62065887451172,28,1478,,,
95.5313949584961,29,1529,,,
90.84757232666016,30,1580,,,
87.13603210449219,31,1631,,,
83.81781768798828,32,1682,,,
80.02289581298828,33,1733,,,
77.04175567626953,34,1784,,,
72.71210479736328,35,1835,,,
69.74378967285156,36,1886,,,
66.77156829833984,37,1937,,,
63.59282302856445,38,1988,,,
60.428558349609375,39,2039,,,
57.23377990722656,40,2090,,,
55.115638732910156,41,2141,,,
50.925228118896484,42,2192,,,
48.37813186645508,43,2243,,,
46.468299865722656,44,2294,,,
43.60219192504883,45,2345,,,
42.40235137939453,46,2396,,,
38.916133880615234,47,2447,,,
37.79190444946289,48,2498,,,
34.57992172241211,49,2549,,,
33.23285675048828,50,2600,,,
31.255266189575195,51,2651,,,
28.752920150756836,52,2702,,,
28.207731246948242,53,2753,,,
25.705862045288086,54,2804,,,
25.088104248046875,55,2855,,,
23.551197052001953,56,2906,,,
22.589723587036133,57,2957,,,
20.986669540405273,58,3008,,,
20.370914459228516,59,3059,,,
19.31231689453125,60,3110,,,
17.922378540039062,61,3161,,,
17.417407989501953,62,3212,,,
16.841304779052734,63,3263,,,
15.892667770385742,64,3314,,,
15.205286026000977,65,3365,,,
15.186714172363281,66,3416,,,
14.599016189575195,67,3467,,,
14.660367012023926,68,3518,,,
14.28291130065918,69,3569,,,
13.655537605285645,70,3620,,,
13.04149055480957,71,3671,,,
12.813332557678223,72,3722,,,
12.861536026000977,73,3773,,,
12.688989639282227,74,3824,,,
11.42512321472168,75,3875,,,
12.644827842712402,76,3926,,,
12.305143356323242,77,3977,,,
12.279487609863281,78,4028,,,
11.945474624633789,79,4079,,,
11.46696949005127,80,4130,,,
11.48146915435791,81,4181,,,
11.794631958007812,82,4232,,,
11.210960388183594,83,4283,,,
10.753504753112793,84,4334,,,
10.804337501525879,85,4385,,,
10.521048545837402,86,4436,,,
11.239768028259277,87,4487,,,
10.748289108276367,88,4538,,,
10.670778274536133,89,4589,,,
10.802491188049316,90,4640,,,
10.801417350769043,91,4691,,,
9.81265640258789,92,4742,,,
10.234953880310059,93,4793,,,
9.872536659240723,94,4844,,,
9.88019847869873,95,4895,,,
10.37350845336914,96,4946,,,
10.044307708740234,97,4997,,,
10.053709983825684,98,5048,,,
10.657387733459473,99,5099,,,
9.840228080749512,100,5150,,,
9.715126037597656,101,5201,,,
10.08432674407959,102,5252,,,
9.578146934509277,103,5303,,,
9.344880104064941,104,5354,,,
9.521729469299316,105,5405,,,
9.29004192352295,106,5456,,,
9.634711265563965,107,5507,,,
8.925618171691895,108,5558,,,
9.050776481628418,109,5609,,,
9.113219261169434,110,5660,,,
8.728531837463379,111,5711,,,
9.103341102600098,112,5762,,,
8.905275344848633,113,5813,,,
8.530586242675781,114,5864,,,
8.617262840270996,115,5915,,,
9.2853422164917,116,5966,,,
8.665657043457031,117,6017,,,
8.691165924072266,118,6068,,,
9.177453994750977,119,6119,,,
8.14478874206543,120,6170,,,
8.941075325012207,121,6221,,,
8.211552619934082,122,6272,,,
8.808930397033691,123,6323,,,
8.20561695098877,124,6374,,,
8.524024963378906,125,6425,,,
8.624183654785156,126,6476,,,
8.18538761138916,127,6527,,,
8.426025390625,128,6578,,,
7.986331939697266,129,6629,,,
8.014205932617188,130,6680,,,
8.682293891906738,131,6731,,,
8.779088020324707,132,6782,,,
7.279973983764648,133,6833,,,
7.3769121170043945,134,6884,,,
8.05801773071289,135,6935,,,
8.225071907043457,136,6986,,,
7.911999702453613,137,7037,,,
8.176772117614746,138,7088,,,
7.856086254119873,139,7139,,,
7.550853729248047,140,7190,,,
7.867494106292725,141,7241,,,
7.69368839263916,142,7292,,,
7.462485313415527,143,7343,,,
7.549829959869385,144,7394,,,
7.720106601715088,145,7445,,,
7.84190034866333,146,7496,,,
7.057450294494629,147,7547,,,
7.557205677032471,148,7598,,,
7.120469093322754,149,7649,,,
7.527693748474121,150,7700,,,
7.52182149887085,151,7751,,,
